Customer_ID,Age,Gender,Days_Since_Last_Purchase,CLTV,Avg_Txn_Value,Fav_Category,Return_Rate,Fav_Payment_Method,Churn
44605,31,Female,307,10755,2151.0,Books,0.8,PayPal,0
13738,27,Female,127,14483,2896.6,Electronics,0.4,Cash,0
33969,27,Male,172,25266,3609.4285714285716,Books,0.2857142857142857,Credit Card,0
42650,20,Female,252,35366,2720.4615384615386,Electronics,0.5384615384615384,Credit Card,0
24053,53,Male,432,12253,2450.6,Books,0.6,Credit Card,0
19676,57,Male,401,13441,2688.2,Electronics,0.6,Credit Card,0
19917,34,Male,236,8398,2099.5,Clothing,0.0,Credit Card,1
16051,45,Male,628,28436,3159.5555555555557,Clothing,0.3333333333333333,Cash,0
23734,18,Male,472,12876,3219.0,Clothing,0.5,Cash,0
16921,54,Male,347,15398,2566.3333333333335,Home,0.8333333333333334,Cash,0
7796,21,Male,442,11306,2826.5,Clothing,0.5,PayPal,0
21035,50,Female,119,12641,1805.857142857143,Electronics,0.5714285714285714,Credit Card,1
37125,24,Female,403,4822,1607.3333333333333,Electronics,0.0,Cash,0
41840,48,Male,120,21529,2152.9,Home,0.2,Cash,0
2642,67,Female,659,14812,2962.4,Books,0.4,Cash,0
1254,70,Male,145,5429,2714.5,Home,0.5,Cash,0
13389,51,Male,97,25842,2871.3333333333335,Books,0.5555555555555556,Cash,0
24473,38,Female,229,12685,2537.0,Clothing,0.6,Credit Card,0
11230,23,Male,153,17570,2928.3333333333335,Clothing,0.3333333333333333,Credit Card,0
24741,50,Female,514,15984,2664.0,Books,0.3333333333333333,Cash,0
10191,66,Male,323,33332,3030.181818181818,Books,0.45454545454545453,Credit Card,0
6829,43,Male,1208,12307,3076.75,Home,0.5,Credit Card,0
16825,37,Male,294,12419,2483.8,Clothing,0.4,Cash,1
18467,23,Male,124,22152,2461.3333333333335,Clothing,0.3333333333333333,PayPal,0
34857,57,Male,207,17249,2156.125,Books,0.125,Credit Card,1
21801,19,Female,609,6247,1561.75,Electronics,0.25,Cash,0
11769,65,Male,367,3241,1620.5,Clothing,0.0,Credit Card,0
22193,27,Male,67,14451,2890.2,Electronics,0.2,Cash,0
7340,35,Male,275,13826,2304.3333333333335,Electronics,0.16666666666666666,Credit Card,1
31538,37,Male,264,25755,3679.285714285714,Home,0.42857142857142855,Cash,0
33511,56,Male,177,22157,3165.285714285714,Books,0.42857142857142855,Credit Card,1
5952,55,Male,188,11462,2292.4,Electronics,0.4,Credit Card,0
48449,31,Male,720,18751,3125.1666666666665,Clothing,0.6666666666666666,Cash,0
17203,62,Male,90,22019,3669.8333333333335,Clothing,0.3333333333333333,Cash,0
2695,45,Female,142,20339,2542.375,Books,0.5,PayPal,0
15079,24,Male,116,23433,3347.5714285714284,Electronics,0.42857142857142855,Cash,0
21450,39,Female,207,22493,3213.285714285714,Books,0.42857142857142855,Credit Card,1
11738,64,Male,212,11313,2828.25,Clothing,0.5,PayPal,0
15595,40,Male,515,23360,3337.1428571428573,Books,0.2857142857142857,Cash,0
44311,49,Female,34,29340,3667.5,Books,0.25,Cash,1
31852,70,Male,525,7202,2400.6666666666665,Books,1.0,PayPal,1
46881,40,Male,469,17142,3428.4,Electronics,0.6,Credit Card,0
14652,31,Female,479,28061,2551.0,Clothing,0.5454545454545454,Credit Card,0
835,59,Male,343,16762,3352.4,Electronics,0.2,Credit Card,0
26275,64,Female,120,14852,3713.0,Electronics,0.25,Credit Card,0
